flag,filename,malware,ip,long_domain,port,blank_href
n,000001,0,0,0,1,3
n,000002,0,0,0,1,5
n,000003,0,0,0,1,0
n,000004,0,0,0,1,12
n,000005,0,0,0,1,1
n,000006,0,0,0,1,0
n,000007,0,0,0,1,4
n,000008,0,0,0,1,0
n,000009,0,0,0,1,2
n,000010,1,0,0,1,11
n,000011,0,0,0,1,0
n,000012,0,0,0,1,0
n,000013,0,0,0,1,0
n,000014,0,0,0,1,0
n,000015,0,0,0,1,3
n,000016,0,0,0,1,0
n,000017,0,0,0,1,2
n,000018,0,0,0,1,0
n,000019,0,0,0,1,0
n,000020,0,0,0,1,0
n,000021,0,0,0,1,1
n,000022,0,0,0,1,1
n,000023,0,0,0,1,0
n,000024,0,0,0,1,8
n,000025,0,0,0,1,3
n,000026,0,0,0,1,0
n,000027,0,0,0,1,1
n,000028,0,0,0,1,0
n,000029,0,0,0,1,0
n,000030,0,0,0,1,0
n,000031,0,0,0,1,0
n,000032,0,0,0,1,15
n,000033,0,0,0,1,0
n,000034,0,0,0,1,0
n,000035,2,0,0,1,5
n,000036,0,0,1,1,0
n,000037,0,0,0,1,0
n,000038,0,0,0,1,0
n,000039,0,0,0,1,47
n,000040,0,0,0,1,0
n,000041,0,0,0,1,7
n,000042,0,0,0,1,1
n,000043,0,0,0,1,0
n,000044,0,0,0,1,0
n,000045,0,0,0,1,0
n,000046,0,0,0,1,0
n,000047,1,0,0,1,0
n,000048,0,0,0,1,1
n,000049,0,0,0,1,0
n,000050,0,0,0,1,0
n,000051,0,0,0,1,0
n,000052,0,0,0,1,0
n,000053,0,0,0,1,4
n,000054,0,0,0,1,8
n,000055,0,0,0,1,5
n,000056,0,0,0,1,1
n,000057,0,0,0,1,3
n,000058,0,0,0,1,2
n,000059,0,0,0,1,0
n,000060,0,0,0,1,2
n,000061,0,0,0,1,0
n,000062,0,0,0,1,27
n,000063,0,0,0,1,0
n,000064,0,0,0,1,1
n,000065,0,0,0,1,18
n,000066,0,0,0,1,14
n,000067,0,0,0,1,0
n,000068,0,0,0,1,2
n,000069,0,0,0,1,12
n,000070,0,0,0,1,0
n,000071,0,0,0,1,2
n,000072,0,0,0,1,0
n,000073,0,0,0,1,6
n,000074,0,0,0,1,0
n,000075,0,0,0,1,1
n,000076,0,0,0,1,6
n,000077,0,0,0,1,0
n,000078,0,0,0,1,0
n,000079,0,0,0,1,0
n,000080,0,0,0,1,0
n,000081,0,0,0,1,0
n,000082,0,0,0,1,0
n,000083,0,0,0,1,0
n,000084,0,0,0,1,0
n,000085,0,0,0,1,2
n,000086,0,0,0,1,0
n,000087,0,0,0,1,1
n,000088,0,0,0,1,0
n,000089,0,0,0,1,0
n,000090,0,0,0,1,2
n,000091,0,0,0,1,0
n,000092,0,0,0,1,4
n,000093,0,0,0,1,0
n,000094,0,0,0,1,0
n,000095,0,0,0,1,0
n,000096,0,0,0,1,0
n,000097,0,0,0,1,4
n,000098,0,0,0,1,0
n,000099,0,0,0,1,49
n,000100,0,0,1,1,0
n,000101,0,0,0,1,1
n,000102,0,0,0,1,0
n,000103,0,0,0,1,0
