ID,FLAG
040077,p
040407,p
040593,p
040605,p
040963,p
040979,p
041200,p
041388,p
041391,p
041696,p
041914,p
041951,p
042016,p
042115,p
042393,p
042659,p
042936,p
043088,p
043385,p
043519,p
043550,p
043746,p
043756,p
043943,p
044125,p
044517,p
044532,p
044549,p
044686,p
044741,p
045383,p
045508,p
045524,p
045813,p
046169,p
046268,p
046321,p
046448,p
046468,p
046922,p
047182,p
047425,p
047858,p
047953,p
048250,p
048580,p
048770,p
049320,p
049437,p
049456,p
049525,p
049771,p
050089,p
050112,p
050186,p
050202,p
050466,p
050523,p
050738,p
050953,p
050984,p
051372,p
052333,p
052467,p
052848,p
053038,p
053156,p
053290,p
053550,p
053749,p
054752,p
055004,p
055007,p
055176,p
055275,p
055321,p
055456,p
055773,p
055867,p
055982,p
056006,p
056013,p
056089,p
056099,p
056927,p
056990,p
057328,p
057702,p
058460,p
058498,p
058767,p
058830,p
058866,p
059135,p
059270,p
059514,p
060576,p
060714,p
060886,p
061020,p
061089,p
061198,p
061576,p
061770,p
061982,p
062143,p
062283,p
062621,p
063311,p
063769,p
063910,p
063976,p
064272,p
064364,p
064576,p
065322,p
065332,p
065461,p
065872,p
066881,p
066989,p
067080,p
067551,p
067756,p
067949,p
067984,p
068260,p
068406,p
068536,p
068583,p
069292,p
069333,p
069396,p
069465,p
069641,p
070040,p
070315,p
070384,p
070951,p
071061,p
071095,p
071220,p
071288,p
071347,p
071385,p
071506,p
072295,p
072335,p
072337,p
072826,p
073075,p
073154,p
074107,p
074241,p
074377,p
074385,p
074396,p
074549,p
074596,p
075517,p
075562,p
075568,p
075632,p
075640,p
075882,p
076116,p
076177,p
076735,p
077038,p
077070,p
077264,p
077265,p
077832,p
078382,p
078425,p
078431,p
079059,p
079303,p
079506,p
079572,p
079778,p
079869,p
079875,p
079967,p
080551,p
081627,p
081640,p
082076,p
082516,p
082921,p
082987,p
083394,p
083548,p
083772,p
084103,p
084204,p
084534,p
084686,p
084818,p
085311,p
085339,p
085430,p
086423,p
087188,p
087516,p
087573,p
088734,p
089270,p
089657,p
089743,p
090318,p
090779,p
091114,p
091423,p
091534,p
092134,p
092313,p
092520,p
092728,p
092892,p
093140,p
093320,p
093472,p
093710,p
093724,p
094334,p
094404,p
094452,p
094794,p
094802,p
095388,p
095715,p
096015,p
096059,p
096718,p
096745,p
097158,p
097301,p
097670,p
097703,p
097777,p
097988,p
098026,p
098296,p
098706,p
099265,p
099416,p
099491,p
099644,p
099669,p
040084,d
040327,d
040520,d
041270,d
041297,d
041386,d
041392,d
041743,d
042024,d
042167,d
042626,d
043447,d
043726,d
043730,d
043968,d
044087,d
044241,d
044570,d
044583,d
045084,d
045454,d
045623,d
045890,d
045953,d
045971,d
046130,d
046209,d
047037,d
047071,d
047166,d
047278,d
047500,d
047514,d
047590,d
047680,d
048169,d
048425,d
048565,d
049018,d
049044,d
049521,d
050389,d
050761,d
051242,d
051354,d
051943,d
052027,d
052179,d
052535,d
053328,d
053430,d
053599,d
053880,d
054024,d
054212,d
054321,d
054694,d
054759,d
054863,d
054930,d
055203,d
055598,d
055759,d
055991,d
056031,d
056240,d
056651,d
056695,d
056867,d
056923,d
057269,d
057280,d
057449,d
057644,d
057766,d
058297,d
058925,d
059619,d
059642,d
060028,d
060289,d
060386,d
060558,d
060813,d
060872,d
061612,d
061651,d
062145,d
062265,d
062287,d
062556,d
063010,d
063106,d
063132,d
063344,d
063407,d
063871,d
064490,d
064767,d
065428,d
065498,d
065570,d
066469,d
066491,d
066673,d
066750,d
067025,d
067423,d
067504,d
068128,d
068256,d
068258,d
068692,d
068846,d
069047,d
069184,d
070459,d
071317,d
072197,d
072233,d
072396,d
072927,d
073201,d
073245,d
073379,d
073402,d
073610,d
073627,d
074113,d
074730,d
074735,d
074908,d
075131,d
075554,d
075691,d
075721,d
075945,d
076105,d
076149,d
076166,d
076349,d
076717,d
076962,d
077245,d
077361,d
077417,d
078290,d
078557,d
078617,d
078707,d
079514,d
079715,d
079719,d
079781,d
079881,d
079996,d
080303,d
080330,d
080618,d
080644,d
080796,d
081175,d
081441,d
081469,d
081954,d
082411,d
082620,d
082692,d
082815,d
083084,d
083255,d
083983,d
084019,d
084162,d
084393,d
084402,d
084865,d
085570,d
085649,d
085938,d
086067,d
086175,d
086558,d
086627,d
086840,d
086879,d
087288,d
087290,d
087413,d
087482,d
087563,d
087775,d
087792,d
087991,d
088067,d
088783,d
088955,d
088963,d
089288,d
089312,d
089340,d
089733,d
090895,d
091571,d
091875,d
092408,d
092659,d
093146,d
093149,d
093214,d
093530,d
093659,d
093911,d
094021,d
094244,d
094415,d
094491,d
094569,d
094590,d
095397,d
095590,d
095615,d
095658,d
096350,d
096465,d
096581,d
096801,d
096930,d
097013,d
097046,d
097076,d
097489,d
098131,d
098133,d
098242,d
098473,d
098513,d
099134,d
099904,d
100110,p
100149,p
100185,p
100608,p
100649,p
100727,p
100775,p
100874,p
101807,p
102115,p
102342,p
102895,p
103111,p
103117,p
103459,p
103599,p
103783,p
103793,p
104100,p
104173,p
104708,p
104861,p
105123,p
105520,p
105779,p
106095,p
106101,p
106183,p
106539,p
106603,p
106723,p
107045,p
107405,p
107628,p
107878,p
108014,p
108348,p
108551,p
109036,p
109357,p
109658,p
110402,p
110430,p
111364,p
111617,p
111618,p
111652,p
111761,p
111769,p
111805,p
112108,p
112336,p
112459,p
112814,p
112904,p
112920,p
112977,p
113343,p
113636,p
113640,p
113789,p
114258,p
114300,p
114402,p
114610,p
114616,p
114944,p
115310,p
116132,p
116476,p
117420,p
117600,p
117794,p
117834,p
117871,p
117895,p
117958,p
118128,p
118253,p
118375,p
118463,p
118577,p
118701,p
118776,p
118838,p
119296,p
119530,p
120469,p
121458,p
121491,p
121977,p
122011,p
122298,p
122346,p
122509,p
122712,p
122808,p
122916,p
122943,p
123089,p
123239,p
123349,p
123769,p
124131,p
124136,p
124237,p
124444,p
125303,p
126030,p
126936,p
127614,p
127624,p
127714,p
128088,p
128346,p
128516,p
128561,p
128644,p
128820,p
130272,p
130830,p
131328,p
131405,p
131439,p
131615,p
131749,p
131843,p
131930,p
132523,p
132604,p
132854,p
132916,p
132930,p
133277,p
133333,p
133668,p
134042,p
134322,p
134329,p
134357,p
134592,p
134626,p
134650,p
134658,p
134807,p
135701,p
135742,p
135814,p
136114,p
136531,p
137024,p
137332,p
137345,p
137650,p
137943,p
138531,p
138802,p
139342,p
139367,p
139556,p
139833,p
140167,p
140651,p
140712,p
141486,p
141653,p
141781,p
142065,p
142443,p
142507,p
142666,p
143010,p
143201,p
143206,p
143353,p
143514,p
143668,p
143707,p
143729,p
143792,p
144132,p
144235,p
144343,p
145490,p
145727,p
145932,p
145958,p
146595,p
146914,p
147567,p
147632,p
147707,p
147842,p
148096,p
148179,p
148310,p
148496,p
148636,p
148676,p
148688,p
148842,p
148966,p
149023,p
149329,p
149545,p
149569,p
150024,p
150609,p
150899,p
151520,p
151557,p
152111,p
152169,p
152333,p
152559,p
152779,p
153049,p
153113,p
153191,p
153203,p
153406,p
153536,p
153811,p
153894,p
153910,p
154590,p
154695,p
154983,p
155820,p
156098,p
156279,p
156311,p
156744,p
156924,p
156953,p
157112,p
157263,p
157614,p
158165,p
158228,p
158257,p
158681,p
158877,p
159031,p
159187,p
159202,p
159266,p
159729,p
160234,p
160272,p
160282,p
160675,p
161061,p
161197,p
161435,p
162238,p
162727,p
162993,p
163033,p
163192,p
163623,p
163858,p
163869,p
163996,p
164029,p
164191,p
164192,p
164200,p
164405,p
164717,p
165330,p
165805,p
166088,p
166176,p
166220,p
166287,p
166421,p
166560,p
166688,p
166764,p
166808,p
167206,p
167556,p
167574,p
167854,p
168257,p
169634,p
169900,p
169943,p
170187,p
170811,p
171021,p
171257,p
171486,p
171615,p
171804,p
171890,p
171928,p
171979,p
172428,p
172966,p
173129,p
173151,p
173190,p
173590,p
173887,p
174230,p
174262,p
174322,p
174644,p
174683,p
174843,p
174985,p
175110,p
175561,p
175622,p
175666,p
175728,p
175795,p
176002,p
176436,p
177276,p
177537,p
177553,p
177578,p
177896,p
177969,p
178076,p
178297,p
178433,p
179105,p
179219,p
179348,p
179659,p
179970,p
180110,p
180142,p
180208,p
180275,p
180531,p
180800,p
180835,p
181135,p
181176,p
181283,p
181420,p
181429,p
181685,p
181864,p
182177,p
183320,p
183352,p
183368,p
183439,p
183524,p
183629,p
183674,p
183727,p
184136,p
184305,p
184448,p
184985,p
185344,p
185417,p
185469,p
185563,p
186206,p
186239,p
186270,p
186437,p
186482,p
186643,p
187034,p
187568,p
187591,p
187839,p
188753,p
188788,p
189054,p
189236,p
189352,p
189624,p
189633,p
189860,p
190128,p
190783,p
191625,p
191712,p
191759,p
191771,p
191819,p
192019,p
192270,p
193113,p
193174,p
193204,p
194451,p
194492,p
194845,p
195163,p
195582,p
196121,p
196162,p
196316,p
196427,p
196729,p
197040,p
197446,p
197630,p
197723,p
198070,p
198290,p
198579,p
198774,p
198831,p
199319,p
199370,p
199376,p
200413,p
200684,p
200735,p
200752,p
201221,p
201708,p
201771,p
202065,p
202251,p
202390,p
202691,p
203275,p
203475,p
203563,p
203643,p
203889,p
204025,p
204195,p
204365,p
204594,p
204898,p
205312,p
206043,p
206106,p
206725,p
206844,p
206862,p
207672,p
208030,p
208277,p
208655,p
208710,p
208791,p
208792,p
209001,p
209204,p
209293,p
209662,p
210184,p
210292,p
210674,p
211758,p
211763,p
211941,p
212311,p
212380,p
212769,p
212927,p
213462,p
214137,p
214294,p
214613,p
214700,p
214789,p
215222,p
215452,p
215457,p
215816,p
216058,p
216155,p
216505,p
216552,p
216698,p
216897,p
216948,p
217247,p
217920,p
218031,p
218114,p
218379,p
218566,p
218848,p
219245,p
219264,p
219344,p
219397,p
219406,p
220647,p
220683,p
220729,p
220865,p
220895,p
221067,p
221455,p
221896,p
222607,p
222731,p
222864,p
222968,p
223820,p
223934,p
224122,p
224777,p
224863,p
224948,p
225019,p
225116,p
225299,p
225303,p
225314,p
225469,p
225853,p
225861,p
226326,p
226590,p
226868,p
227095,p
227204,p
228047,p
228873,p
229225,p
229733,p
229873,p
230096,p
230356,p
230490,p
230644,p
230704,p
230731,p
230823,p
230840,p
230847,p
230886,p
230889,p
231146,p
231544,p
231725,p
231797,p
232256,p
232263,p
232332,p
232760,p
233136,p
233338,p
233405,p
234092,p
234140,p
234433,p
234458,p
234877,p
235158,p
235174,p
235245,p
235267,p
235925,p
236175,p
236188,p
236231,p
236370,p
236457,p
236799,p
237497,p
237954,p
238169,p
238338,p
238880,p
239010,p
239177,p
239294,p
239298,p
239403,p
239476,p
239874,p
240066,p
240932,p
241180,p
241361,p
241720,p
241721,p
242084,p
242222,p
242232,p
242601,p
243312,p
243375,p
243547,p
243661,p
243677,p
244046,p
244089,p
244208,p
244211,p
244461,p
244526,p
245005,p
245122,p
245196,p
245332,p
245371,p
245395,p
245485,p
245549,p
245625,p
245778,p
245997,p
246028,p
246362,p
246530,p
246708,p
246975,p
247477,p
247830,p
248092,p
