ID,FLAG
40077,p
40374,p
40407,p
40593,p
40605,p
40754,p
40963,p
40979,p
40991,p
41200,p
41321,p
41388,p
41391,p
41696,p
41698,p
41819,p
41914,p
41951,p
41983,p
42016,p
42115,p
42393,p
42650,p
42659,p
42936,p
43088,p
43385,p
43448,p
43519,p
43550,p
43746,p
43756,p
43943,p
44008,p
44060,p
44125,p
44149,p
44401,p
44517,p
44532,p
44649,p
44686,p
44735,p
44741,p
44921,p
45045,p
45383,p
45508,p
45524,p
45616,p
45813,p
46216,p
46268,p
46321,p
46448,p
46468,p
46582,p
46922,p
47182,p
47425,p
47858,p
47953,p
48250,p
48580,p
48758,p
49140,p
49200,p
49280,p
49320,p
49390,p
49437,p
49456,p
49525,p
49771,p
49956,p
50041,p
50089,p
50112,p
50186,p
50202,p
50346,p
50382,p
50466,p
50523,p
50953,p
50984,p
51238,p
51372,p
51687,p
52059,p
52206,p
52333,p
52467,p
52807,p
52848,p
52992,p
53038,p
53156,p
53159,p
53234,p
53327,p
53389,p
53550,p
53749,p
53806,p
54220,p
54228,p
54440,p
54472,p
54587,p
54752,p
54847,p
55004,p
55007,p
55176,p
55275,p
55321,p
55456,p
55559,p
55773,p
55867,p
55982,p
56006,p
56013,p
56089,p
56099,p
56927,p
56990,p
57328,p
57333,p
57347,p
57649,p
57702,p
57844,p
58257,p
58460,p
58498,p
58589,p
58597,p
58661,p
58767,p
59037,p
59135,p
59221,p
59270,p
59337,p
59396,p
59410,p
59514,p
59619,p
60076,p
60450,p
60537,p
60576,p
60714,p
60886,p
61020,p
61089,p
61171,p
61198,p
61803,p
61934,p
62143,p
62235,p
63175,p
63286,p
63311,p
63769,p
63910,p
63976,p
64272,p
64364,p
64391,p
64393,p
65322,p
65332,p
65461,p
65575,p
65872,p
66089,p
66102,p
66556,p
66563,p
66867,p
66881,p
66989,p
67551,p
67756,p
67949,p
67984,p
68375,p
68536,p
68583,p
69063,p
69232,p
69243,p
69263,p
69292,p
69333,p
69396,p
69465,p
69467,p
69641,p
69718,p
70040,p
70315,p
70384,p
70465,p
70951,p
71061,p
71090,p
71095,p
71220,p
71274,p
71288,p
71347,p
71506,p
71589,p
72295,p
72307,p
72335,p
72337,p
72826,p
73024,p
73148,p
73154,p
73247,p
73366,p
73584,p
73968,p
74107,p
74123,p
74241,p
74377,p
74385,p
74396,p
74549,p
74599,p
74791,p
74870,p
75019,p
75335,p
75427,p
75517,p
75562,p
75568,p
75632,p
75640,p
75882,p
76147,p
76177,p
76720,p
76735,p
77038,p
77070,p
77091,p
77264,p
77265,p
