ID,FLAG
41386,d
41392,d
42167,d
43730,d
43968,d
45454,d
45971,d
46130,d
47278,d
48565,d
49044,d
50389,d
50761,d
51354,d
51943,d
52027,d
52179,d
52535,d
53430,d
53880,d
54024,d
54212,d
54863,d
54930,d
55598,d
55991,d
56651,d
56695,d
56867,d
56923,d
57269,d
57766,d
59642,d
60028,d
60289,d
61612,d
62287,d
63010,d
63344,d
65570,d
66469,d
66491,d
66750,d
68692,d
68846,d
69184,d
72197,d
72233,d
73245,d
73610,d
74113,d
74908,d
75554,d
75691,d
75721,d
76149,d
76349,d
78557,d
78707,d
80303,d
80330,d
80644,d
81954,d
82411,d
82692,d
83084,d
83255,d
84162,d
84393,d
85649,d
85938,d
86558,d
86840,d
86879,d
87290,d
87413,d
87563,d
88067,d
89312,d
91571,d
92408,d
92659,d
93146,d
93149,d
93214,d
93659,d
94590,d
95590,d
96465,d
96801,d
97013,d
97076,d
98133,d
98242,d
98513,d
99134,d
99904,d
40084,d
40327,d
40455,d
40490,d
40520,d
40571,d
40658,d
40701,d
40888,d
40926,d
41047,d
41133,d
41270,d
41297,d
41743,d
41877,d
42121,d
42159,d
42570,d
42591,d
42704,d
42712,d
42791,d
43380,d
43435,d
43447,d
43987,d
44050,d
44087,d
44090,d
44155,d
44241,d
44584,d
44713,d
44785,d
45753,d
45812,d
46000,d
46077,d
46147,d
46209,d
46223,d
46228,d
47037,d
47524,d
47590,d
47741,d
47900,d
48027,d
48041,d
48437,d
48501,d
48709,d
48777,d
48813,d
48990,d
49664,d
49717,d
50376,d
50395,d
51215,d
51237,d
51242,d
51701,d
52715,d
52917,d
53599,d
53725,d
53982,d
54254,d
54670,d
54759,d
54998,d
55500,d
56031,d
56240,d
56714,d
57007,d
57256,d
57280,d
57298,d
57325,d
57593,d
57862,d
58089,d
58297,d
58699,d
58925,d
58998,d
59158,d
59922,d
60281,d
60304,d
60323,d
60386,d
60558,d
60602,d
60677,d
60901,d
60981,d
61078,d
61104,d
61561,d
61921,d
62032,d
62208,d
62272,d
62556,d
62635,d
62847,d
63106,d
63132,d
63193,d
63407,d
63432,d
63847,d
63871,d
64492,d
64506,d
64586,d
64589,d
64619,d
64767,d
64847,d
64987,d
65093,d
65428,d
65761,d
66272,d
66357,d
66530,d
66833,d
66965,d
67423,d
67504,d
67536,d
67975,d
68024,d
68128,d
68256,d
68258,d
69565,d
70091,d
70459,d
71694,d
71768,d
71871,d
72266,d
72396,d
72936,d
73242,d
73379,d
73394,d
73587,d
73865,d
73900,d
74066,d
74197,d
74700,d
74730,d
75131,d
75643,d
75795,d
75945,d
75961,d
76163,d
76172,d
76456,d
76506,d
76572,d
76670,d
76672,d
76678,d
76803,d
76962,d
77220,d
77260,d
77263,d
77417,d
77570,d
77882,d
77925,d
78253,d
78290,d
78617,d
78686,d
79200,d
79211,d
79318,d
79514,d
79715,d
79881,d
80313,d
80323,d
80428,d
80482,d
80618,d
80637,d
80729,d
80779,d
80796,d
80868,d
81335,d
81441,d
81469,d
81535,d
81857,d
81924,d
82134,d
82140,d
82277,d
82368,d
82549,d
82815,d
82854,d
82963,d
82988,d
83036,d
83041,d
83421,d
83876,d
83983,d
83995,d
84001,d
84019,d
84161,d
84402,d
84478,d
84604,d
84606,d
84865,d
84909,d
84952,d
85109,d
85115,d
85135,d
85253,d
85547,d
85570,d
85617,d
85982,d
85994,d
86034,d
86175,d
86394,d
86456,d
86501,d
86577,d
86627,d
86975,d
86994,d
87444,d
87482,d
87584,d
87793,d
87868,d
88229,d
88686,d
88706,d
88783,d
88805,d
88955,d
88963,d
89004,d
89288,d
89400,d
89563,d
89733,d
90554,d
90895,d
90998,d
91207,d
91251,d
91540,d
91559,d
91692,d
92041,d
92348,d
92406,d
93124,d
93444,d
93908,d
93911,d
94207,d
94244,d
94491,d
94530,d
94569,d
94628,d
94999,d
95274,d
95558,d
95949,d
96181,d
96471,d
96581,d
96661,d
96930,d
97287,d
97489,d
97942,d
98131,d
98350,d
98473,d
98652,d
98781,d
99049,d
99424,d
40077,p
40407,p
40593,p
40605,p
40963,p
40979,p
41200,p
41388,p
41391,p
41696,p
41914,p
42115,p
42393,p
42659,p
42936,p
43385,p
43550,p
43746,p
44125,p
44517,p
44532,p
44686,p
44741,p
45383,p
45508,p
45524,p
45813,p
46268,p
46321,p
46448,p
46468,p
47182,p
47425,p
47858,p
47953,p
48250,p
48580,p
49200,p
49280,p
49320,p
49437,p
49525,p
49771,p
50112,p
50202,p
50466,p
50523,p
50953,p
50984,p
51372,p
52333,p
52467,p
52807,p
53038,p
53550,p
53749,p
54752,p
55007,p
55176,p
55275,p
55321,p
55456,p
55773,p
55982,p
56013,p
56089,p
56099,p
56927,p
56990,p
57328,p
57347,p
57702,p
58460,p
58767,p
59270,p
59410,p
59514,p
60576,p
60714,p
60886,p
61020,p
61089,p
61198,p
62143,p
62235,p
63311,p
63769,p
63910,p
63976,p
64272,p
65322,p
65332,p
65461,p
65872,p
66089,p
66881,p
67551,p
67756,p
67949,p
67984,p
68536,p
68583,p
69292,p
69333,p
69396,p
69465,p
69641,p
70040,p
70315,p
70384,p
70951,p
71061,p
71095,p
71220,p
71288,p
71347,p
71506,p
72295,p
72335,p
72826,p
74107,p
74241,p
74377,p
74385,p
74396,p
74549,p
75517,p
75562,p
75568,p
75632,p
75640,p
75882,p
76735,p
77038,p
77070,p
77265,p
78431,p
79059,p
79875,p
79967,p
81627,p
81640,p
82076,p
82516,p
82921,p
82987,p
83394,p
83548,p
83772,p
84204,p
85269,p
85339,p
85430,p
87188,p
87516,p
87573,p
89270,p
89657,p
89743,p
90242,p
90779,p
91114,p
91423,p
91534,p
92134,p
92313,p
92520,p
92892,p
93472,p
93710,p
93724,p
94334,p
94452,p
94794,p
94802,p
95715,p
96015,p
96059,p
96718,p
96745,p
97158,p
97301,p
97670,p
97703,p
97777,p
98026,p
98706,p
99416,p
99491,p
99644,p
99669,p
40374,p
40991,p
41321,p
41951,p
41983,p
42016,p
43088,p
43448,p
43519,p
43756,p
43943,p
44060,p
44149,p
44401,p
45616,p
